line;met;real;feet;feet_number;meter_quality;line_n;title;author;meter_nuber
And post o'er land and ocean without rest:;-+-+-+-+-+;-+-+-+--++;And post |o'er land |and o|cean with|out rest:;pentameter;iambic;13;On His Blindness(1652);John Milton;
"They also serve who only stand and wait.""";-+-+-+-+-+;-+-+-+-+-+;"They al|so serve |who on|ly stand |and wait.""";pentameter;iambic;14;On His Blindness(1652);John Milton;
Con demned to Hope's de lus                 ive mine,                 ;-+-+-+-+;-+-+-+-+;Con demned |to Hope's |de lus                 |ive mine,                 ;tetrameter;iambic;1;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
As on we toil from day to day,                 ;-+-+-+-+;-+-+-+-+;As on |we toil |from day |to day,                 ;tetrameter;iambic;2;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
By sud                 den blasts, or slow de                 cline,             ;-+-+-+-+;-+-+-+-+;By sud                 |den blasts, |or slow |de                 cline,             ;tetrameter;iambic;3;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Our soc             ial com             forts drop a             way.         ;-+-+-+-+;-+-+-+-+;Our soc             |ial com             |forts drop |a             way.         ;tetrameter;iambic;4;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Well tried through man         y a var         y ing year,     ;-+-+-+-+;++-+--+--+;Well tried |through man         |y a var         |y ing year,     ;tetrameter;iambic;5;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
"See Lev     et to the grave de     scend; ";-+-+-+-+;-+-+-+-+|++-+-+-+;"See Lev     |et to |the grave |de     scend; ";tetrameter;iambic;6;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
O ffic ious, inn o cent, sin cere, ;-+-+-+-+;-+-+-+-+;O ffic |ious, inn |o cent, |sin cere, ;tetrameter;iambic;7;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Of ev ery friend less name the friend. ;-+-+-+-+;-+-+-+-+;Of ev |ery friend |less name |the friend. ;tetrameter;iambic;8;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Yet still he fills A ffec tion's eye, ;-+-+-+-+;-+-+-+-+;Yet still |he fills |A ffec |tion's eye, ;tetrameter;iambic;9;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
"Ob scure ly wise, and coarse ly kind; ";-+-+-+-+;-+-+-+-+;"Ob scure |ly wise, |and coarse |ly kind; ";tetrameter;iambic;10;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Nor, lett ered Arr o gance, de ny ;-+-+-+-+;++-+-+-+;Nor, lett |ered Arr |o gance, |de ny ;tetrameter;iambic;11;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Thy praise to mer it un re fined. ;-+-+-+-+;-+-+-+-+;Thy praise |to mer |it un |re fined. ;tetrameter;iambic;12;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
When faint ing Na ture called for aid, ;-+-+-+-+;-+-+-+-+;When faint |ing Na |ture called |for aid, ;tetrameter;iambic;13;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
And hov er ing Death pre pared the blow, ;-+-+-+-+;-+--+-+-+;And hov |er ing Death |pre pared |the blow, ;tetrameter;iambic;14;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
His vig or ous rem e dy dis played ;-+-+-+-+;-+--+-+-+;His vig |or ous rem |e dy |dis played ;tetrameter;iambic;15;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
The pow er of art with out the show. ;-+-+-+-+;-+--+-+-+;The pow |er of art |with out |the show. ;tetrameter;iambic;16;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
In Mis er y's dark est cav ern known, ;-+-+-+-+;-+--+-+-+;In Mis |er y's dark |est cav |ern known, ;tetrameter;iambic;17;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
His use ful care was ev er nigh, ;-+-+-+-+;-+-+-+-+;His use |ful care |was ev |er nigh, ;tetrameter;iambic;18;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Where hope less Ang uish poured his groan, ;-+-+-+-+;-+-+-+-+;Where hope |less Ang |uish poured |his groan, ;tetrameter;iambic;19;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
And lone ly Want re tired to die. ;-+-+-+-+;-+-+-+-+;And lone |ly Want |re tired |to die. ;tetrameter;iambic;20;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
No summ ons mocked by chill de lay, ;-+-+-+-+;++-+-+-+;No summ |ons mocked |by chill |de lay, ;tetrameter;iambic;21;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
No pet ty gain dis dained by pride, ;-+-+-+-+;++-+-+-+;No pet |ty gain |dis dained |by pride, ;tetrameter;iambic;22;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
The mod est wants of ev ery day ;-+-+-+-+;-+-+-+-+;The mod |est wants |of ev |ery day ;tetrameter;iambic;23;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
The toil of ev ery day su pplied. ;-+-+-+-+;-+-+-+-+;The toil |of ev |ery day |su pplied. ;tetrameter;iambic;24;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
His vir tues walked their narr ow round, ;-+-+-+-+;-+-+-+-+;His vir |tues walked |their narr |ow round, ;tetrameter;iambic;25;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
"Nor made a pause, nor left a void; ";-+-+-+-+;-+-+-+-+;"Nor made |a pause, |nor left |a void; ";tetrameter;iambic;26;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
And sure the E tern al Mast er found ;-+-+-+-+;-+--+-+-+;And sure |the E tern |al Mast |er found ;tetrameter;iambic;27;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
The sin gle tal ent well em ployed. ;-+-+-+-+;-+-+-+-+;The sin |gle tal |ent well |em ployed. ;tetrameter;iambic;28;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
The bus y day, the peace ful night, ;-+-+-+-+;-+-+-+-+;The bus |y day, |the peace |ful night, ;tetrameter;iambic;29;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
"Un felt, un count ed, glid ed by; ";-+-+-+-+;-+-+-+-+;"Un felt, |un count |ed, glid |ed by; ";tetrameter;iambic;30;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
His frame was firm, his pow ers were bright, ;-+-+-+-+;-+-+-+--+;His frame |was firm, |his pow |ers were bright, ;tetrameter;iambic;31;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Though now his eight i eth year was nigh. ;-+-+-+-+;-+-+--+-+;Though now |his eight |i eth year |was nigh. ;tetrameter;iambic;32;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Then with no throbbing fie r y pain, ;-+-+-+-+;+-++-+--+;Then with |no throbb|ing fie |r y pain, ;tetrameter;iambic;33;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
No cold gra da tions of de cay, ;-+-+-+-+;++-+-+-+;No cold |gra da |tions of |de cay, ;tetrameter;iambic;34;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
Death broke at once the vit al chain, ;-+-+-+-+;++-+-+-+;Death broke |at once |the vit |al chain, ;tetrameter;iambic;35;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
And freed his soul the near est way. ;-+-+-+-+;-+-+-+-+;And freed |his soul |the near |est way. ;tetrameter;iambic;36;On the Death of Dr. Robert Levet(1783);Samuel Johnson;
I met a traveller from an antique land,;-+-+-+-+-+;-+-+--+-+-+|-+-+--+--++;I met |a trav|eller from |an an|tique land,;pentameter;iambic;1;Ozymandias(1818);Percy Bysshe Shelley;
Who said: Two vast and trunkless legs of stone;-+-+-+-+-+;-+++-+-+-+;Who said: |Two vast |and trunk|less legs |of stone;pentameter;iambic;2;Ozymandias(1818);Percy Bysshe Shelley;
Stand in the desert.... Near them, on the sand,;-+-+-+-+-+;+--+-+-+-+;Stand in |the des|ert.... Near |them, on |the sand,;pentameter;iambic;3;Ozymandias(1818);Percy Bysshe Shelley;
Half sunk, a shattered visage lies, whose frown,;-+-+-+-+-+;++-+-+-+-+;Half sunk, |a shat|tered vis|age lies, |whose frown,;pentameter;iambic;4;Ozymandias(1818);Percy Bysshe Shelley;
And wrinkled lip, and sneer of cold command,;-+-+-+-+-+;-+-+-+-+-+;And wrin|kled lip, |and sneer |of cold |command,;pentameter;iambic;5;Ozymandias(1818);Percy Bysshe Shelley;
Tell that its sculptor well those passions read;-+-+-+-+-+;+--+-+-+-+;Tell that |its sculp|tor well |those pas|sions read;pentameter;iambic;6;Ozymandias(1818);Percy Bysshe Shelley;
Which yet survive, stamped on these lifeless things,;-+-+-+-+-+;-+-++--+-+;Which yet |survive, |stamped on |these life|less things,;pentameter;iambic;7;Ozymandias(1818);Percy Bysshe Shelley;
The hand that mocked them, and the heart that fed:;-+-+-+-+-+;-+-+-+-+-+;The hand |that mocked |them, and |the heart |that fed:;pentameter;iambic;8;Ozymandias(1818);Percy Bysshe Shelley;
And on the pedestal these words appear:;-+-+-+-+-+;-+-+--++-+;And on |the ped|estal |these words |appear:;pentameter;iambic;9;Ozymandias(1818);Percy Bysshe Shelley;
My name is Ozymandias, king of kings:;-+-+-+-+-+;-+-+-+--+-+;My name |is Oz|yman|dias, king |of kings:;pentameter;iambic;10;Ozymandias(1818);Percy Bysshe Shelley;
Look on my works, ye Mighty, and despair!;-+-+-+-+-+;+--+-+-+-+|+--+++---+;Look on |my works, |ye Might|y, and |despair!;pentameter;iambic;11;Ozymandias(1818);Percy Bysshe Shelley;
Nothing beside remains. Round the decay;-+-+-+-+-+;+--+-++--+;Nothing |beside |remains. |Round the |decay;pentameter;iambic;12;Ozymandias(1818);Percy Bysshe Shelley;
Of that colossal wreck, boundless and bare,;-+-+-+-+-+;-+-+-++--+;Of that |colos|sal wreck, |boundless |and bare,;pentameter;iambic;13;Ozymandias(1818);Percy Bysshe Shelley;
The lone and level sands stretch far away.;-+-+-+-+-+;-+-+-+++-+;The lone |and lev|el sands |stretch far |away.;pentameter;iambic;14;Ozymandias(1818);Percy Bysshe Shelley;
Southward through Eden went a river large,;-+-+-+-+-+;+--+-+-+-+;Southward |through E|den went |a riv|er large,;pentameter;iambic;1;from Paradise Lost (IV.222-44)(1667);John Milton;
Nor chang'd his course, but through the shaggy hill;-+-+-+-+-+;-+-+-+-+-+;Nor chang'd |his course, |but through |the shag|gy hill;pentameter;iambic;2;from Paradise Lost (IV.222-44)(1667);John Milton;
Pass'd underneath ingulft, for God had thrown;-+-+-+-+-+;+--+-+-+-+|++-+-+-+-+;Pass'd un|derneath |ingulft, |for God |had thrown;pentameter;iambic;3;from Paradise Lost (IV.222-44)(1667);John Milton;
That mountain as his garden mould high rais'd;-+-+-+-+-+;-+---+-+++;That moun|tain as |his gar|den mould |high rais'd;pentameter;iambic;4;from Paradise Lost (IV.222-44)(1667);John Milton;
Upon the rapid current, which through veins;-+-+-+-+-+;-+-+-+-+-+;Upon |the rap|id cur|rent, which |through veins;pentameter;iambic;5;from Paradise Lost (IV.222-44)(1667);John Milton;
Of porous Earth with kindly thirst up-drawn,;-+-+-+-+-+;-+-+-+-+++|-+-+-+-+-+;Of por|ous Earth |with kind|ly thirst |up-drawn,;pentameter;iambic;6;from Paradise Lost (IV.222-44)(1667);John Milton;
Rose a fresh fountain, and with many a rill;-+-+-+-+-+;+-++-+-+--+|+-++---+--+;Rose a |fresh foun|tain, and |with man|y a rill;pentameter;iambic;7;from Paradise Lost (IV.222-44)(1667);John Milton;
"Water'd the Garden; thence united fell";-+-+-+-+-+;+--+-+-+-+;"Water'd |the Gar|den; thence |unit|ed fell";pentameter;iambic;8;from Paradise Lost (IV.222-44)(1667);John Milton;
Down the steep glade, and met the nether Flood,;-+-+-+-+-+;+-++-+-+-+;Down the |steep glade, |and met |the neth|er Flood,;pentameter;iambic;9;from Paradise Lost (IV.222-44)(1667);John Milton;
Which from his darksome passage now appears,;-+-+-+-+-+;+--+-+-+-+|-+-+-+-+-+;Which from |his dark|some pas|sage now |appears,;pentameter;iambic;10;from Paradise Lost (IV.222-44)(1667);John Milton;
And now divided into four main Streams,;-+-+-+-+-+;-+-+---+++|-+-+-+-+++;And now |divid|ed in|to four |main Streams,;pentameter;iambic;11;from Paradise Lost (IV.222-44)(1667);John Milton;
Runs diverse, wand'ring many a famous Realm;-+-+-+-+-+;+-++-+--+-+|++-+-+--+-+;Runs di|verse, wan|d'ring man|y a fa|mous Realm;pentameter;iambic;12;from Paradise Lost (IV.222-44)(1667);John Milton;
And country whereof here needs no account,;-+-+-+-+-+;-+-+-+-+-+;And coun|try where|of here |needs no |account,;pentameter;iambic;13;from Paradise Lost (IV.222-44)(1667);John Milton;
But rather to tell how, if Art could tell,;-+-+-+-+-+;-+--++-+-+;But rath|er to |tell how, |if Art |could tell,;pentameter;iambic;14;from Paradise Lost (IV.222-44)(1667);John Milton;
How from that Sapphire Fount the crisped Brooks,;-+-+-+-+-+;+--+-+-+-+;How from |that Sap|phire Fount |the crisp|ed Brooks,;pentameter;iambic;15;from Paradise Lost (IV.222-44)(1667);John Milton;
Rolling on Orient Pearl and sands of Gold,;-+-+-+-+-+;+--+--+-+-+;Rolling |on O|rient Pearl |and sands |of Gold,;pentameter;iambic;16;from Paradise Lost (IV.222-44)(1667);John Milton;
With mazy error under pendant shades;-+-+-+-+-+;-+-+-+-+-+;With maz|y er|ror un|der pen|dant shades;pentameter;iambic;17;from Paradise Lost (IV.222-44)(1667);John Milton;
Ran nectar, visiting each plant, and fed;-+-+-+-+-+;++-+--++-+;Ran nec|tar, vis|iting |each plant, |and fed;pentameter;iambic;18;from Paradise Lost (IV.222-44)(1667);John Milton;
Flow'rs worthy of Paradise, which not nice Art;-+-+-+-+-+;++--+---+++|++--+-+-+++;Flow'rs worth|y of Par|adise, |which not |nice Art;pentameter;iambic;19;from Paradise Lost (IV.222-44)(1667);John Milton;
In Beds and curious Knots, but Nature boon;-+-+-+-+-+;-+-+--+-+-+;In Beds |and cur|ious Knots, |but Na|ture boon;pentameter;iambic;20;from Paradise Lost (IV.222-44)(1667);John Milton;
Pour'd forth profuse on Hill and Dale and Plain.;-+-+-+-+-+;++-+-+-+-+;Pour'd forth |profuse |on Hill |and Dale |and Plain.;pentameter;iambic;21;from Paradise Lost (IV.222-44)(1667);John Milton;
Let chaos storm!;;-+-+;Let cha|os storm!;;iambic;1;Pertinax(1936);Robert Frost;dimeter
Let cloud shapes swarm!;;-+-+;Let cloud |shapes swarm!;;iambic;2;Pertinax(1936);Robert Frost;dimeter
I wait for form.;-+-+;-+-+|+--+;I wait |for form.;;iambic;3;Pertinax(1936);Robert Frost;dimeter
" Softly, in the dusk, a woman is singing to me;";--+--+--+--+--+;+---+-+--+--+;" Softly, |in the dusk, |a wo|man is sing|ing to me;";pentameter;anapestic;1;Piano(1918);D.H. Lawrence;
Taking me back  down the vista of years, till I see;--+--+--+--+--+;+--+--+--+--+;Taking |me back  |down the vis|ta of years, |till I see;pentameter;anapestic;2;Piano(1918);D.H. Lawrence;
A child sitting under the piano, in the boom of the tingling strings;--+--+--+--+--+--+;-+--+---+---+--+-+;A child |sitting un|der the pian|o, in the boom |of the ting|ling strings;hexameter;anapestic;3;Piano(1918);D.H. Lawrence;
And pressing the small, poised feet of a mother who smiles as she sings.;--+--+--+--+--+--+;-+--+++--+--+--+;And press|ing the small, |poised feet |of a mo|ther who smiles |as she sings.;hexameter;anapestic;4;Piano(1918);D.H. Lawrence;
In spite of myself, the insidious mastery of song;--+--+--+--+--+;-+--+--+--+--+;In spite |of myself, |the insi|dious mas|tery of song;pentameter;anapestic;5;Piano(1918);D.H. Lawrence;
Betrays me back, till the heart of me weeps to belong;--+--+--+--+--+;-+-+--+--+--+;Betrays |me back, |till the heart |of me weeps |to belong;pentameter;anapestic;6;Piano(1918);D.H. Lawrence;
To the old Sunday evenings at home, with winter outside;--+--+--+--+--+;--+--+--+-+--+;To the old |Sunday ev|enings at home, |with win|ter outside;pentameter;anapestic;7;Piano(1918);D.H. Lawrence;
And hymns in the cosy parlour, the tinkling piano our guide.;--+--+--+--+--+--+;-+--+-+--+--+--+;And hymns |in the co|sy par|lour, the tink|ling pian|o our guide.;hexameter;anapestic;8;Piano(1918);D.H. Lawrence;
So now it is vain for the singer to burst into clamour;--+--+--+--+--+-;-+--+--+--+--+-;So now |it is vain |for the sing|er to burst |into clamour;pentameter;anapestic;9;Piano(1918);D.H. Lawrence;
With the great black piano appassionato. The glamour;--+--+--+--+--+-;--++-+--+--+--+-;With the great |black pian|o appass|ionat|o. The glamour;pentameter;anapestic;10;Piano(1918);D.H. Lawrence;
Of childish days is upon me, my manhood is cast;--+--+--+--+--+;-+-+--+--+--+;Of chil|dish days |is upon |me, my man|hood is cast;pentameter;anapestic;11;Piano(1918);D.H. Lawrence;
Down in the flood of remembrance, I weep like a child for the past.;--+--+--+--+--+--+;+--+--+--+--+--+;Down in |the flood |of remem|brance, I weep |like a child |for the past.;hexameter;anapestic;12;Piano(1918);D.H. Lawrence;
Our revels now are ended. These our actors,;-+-+-+-+-+-;-+-+-+-+-+-;Our rev|els now |are end|ed. These |our actors,;pentameter;iambic;1;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
As I foretold you, were all spirits and;-+-+-+-+-+;-+-+--++-+|-+-+-+++--;As I |foretold |you, were |all spir|its and;pentameter;iambic;2;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
"Are melted into air, into thin air;";-+-+-+-+-+;-+-+-+--++;"Are melt|ed in|to air, |into |thin air;";pentameter;iambic;3;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
And, like the baseless fabric of this vision,;-+-+-+-+-+-;-+-+-+-+-+-;And, like |the base|less fab|ric of |this vision,;pentameter;iambic;4;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
The cloud-capped towers, the gorgeous palaces;-+-+-+-+-+;-+++--+-+-+;The cloud-|capped tow|ers, the gor|geous pal|aces;pentameter;iambic;5;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
The solemn temples, the great globe itself,;-+-+-+-+-+;-+-+--++-+;The sol|emn tem|ples, the |great globe |itself,;pentameter;iambic;6;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Yea, all which it inherit, shall dissolve,;-+-+-+-+-+;++-+-+---+|++---+-+-+;Yea, all |which it |inher|it, shall |dissolve,;pentameter;iambic;7;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
And, like this insubstantial pageant faded,;-+-+-+-+-+-;-+-+-+-+-+-;And, like |this in|substan|tial pag|eant faded,;pentameter;iambic;8;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Leave not a rack behind. We are such stuff;-+-+-+-+-+;+--+-++--+|+--+-++-++;Leave not |a rack |behind. |We are |such stuff;pentameter;iambic;9;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
As dreams are made on, and our little life;-+-+-+-+-+;-+-+-+-+-+;As dreams |are made |on, and |our lit|tle life;pentameter;iambic;10;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Is rounded with a sleep. Sir, I am vexed.;-+-+-+-+-+;-+-+-++--+;Is round|ed with |a sleep. |Sir, I |am vexed.;pentameter;iambic;11;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Bear with my weakness: my old brain is troubled.;-+-+-+-+-+-;+--+--++-+-;Bear with |my weak|ness: my |old brain |is troubled.;pentameter;iambic;12;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Be not disturbed with my infirmity.;-+-+-+-+-+;-+-+-+-+-+;Be not |disturbed |with my |infir|mity.;pentameter;iambic;13;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
If you be pleased, retire into my cell;-+-+-+-+-+;-+-+-+-+-+;If you |be pleased, |retire |into |my cell;pentameter;iambic;14;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
And there repose. A turn or two I'll walk;-+-+-+-+-+;-+-+-+-+-+;And there |repose. |A turn |or two |I'll walk;pentameter;iambic;15;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
To still my beating mind.;-+-+-+;-+-+-+;To still |my beat|ing mind.;trimeter;iambic;16;Prospero Explains (The Tempest IV.i.148-63)(1611);William Shakespeare;
Rain, mid                     night rain, no thing but the wild rain ;-+-+-+-+-+;++-++---++;Rain, mid                     |night rain, |no thing |but the |wild rain ;pentameter;iambic;1;Rain(1916);Edward Thomas;
On this bleak hut,  and sol                     i tude, and me ;-+-+-+-+-+;--++-+-+-+;On this |bleak hut,  |and sol                     |i tude, |and me ;pentameter;iambic;2;Rain(1916);Edward Thomas;
Re mem                 ber ing a gain that I shall die;-+-+-+-+-+;-+-+-+-+-+;Re mem                 |ber ing |a gain |that I |shall die;pentameter;iambic;3;Rain(1916);Edward Thomas;
And nei                 ther hear the rain nor give it thanks ;-+-+-+-+-+;-+-+-+-+-+;And nei                 |ther hear |the rain |nor give |it thanks ;pentameter;iambic;4;Rain(1916);Edward Thomas;
For wash                 ing me clean er than I have been ;-+-+-+-+-+;-+-++--+-+;For wash                 |ing me |clean er |than I |have been ;pentameter;iambic;5;Rain(1916);Edward Thomas;
Since I was born in to this sol                 i tude.;-+-+-+-+-+;-+-++--+-+|-+-+-+-+-+;Since I |was born |in to |this sol                 |i tude.;pentameter;iambic;6;Rain(1916);Edward Thomas;
Bless ed are the dead that the rain rains u pon:;-+-+-+-+-+;+---+--++-+;Bless ed |are the dead |that the |rain rains |u pon:;pentameter;iambic;7;Rain(1916);Edward Thomas;
But here I pray that none whom once I loved;-+-+-+-+-+;-+-+-+-+-+;But here |I pray |that none |whom once |I loved;pentameter;iambic;8;Rain(1916);Edward Thomas;
Is dy                 ing to night or ly                 ing still a wake;-+-+-+-+-+;-+--+-+-+-+;Is dy                 |ing to night |or ly                 |ing still |a wake;pentameter;iambic;9;Rain(1916);Edward Thomas;
Sol i             tar y, lis ten         ing to the rain,;-+-+-+-+-+;+-+-+--+-+;Sol i             |tar y, |lis ten         |ing to |the rain,;pentameter;iambic;10;Rain(1916);Edward Thomas;
Ei ther in pain or thus in sym         pa thy;-+-+-+-+-+;+--+-+-+-+;Ei ther |in pain |or thus |in sym         |pa thy;pentameter;iambic;11;Rain(1916);Edward Thomas;
Help less a mong the li         ving and the dead,;-+-+-+-+-+;+--+-+-+-+;Help less |a mong |the li         |ving and |the dead,;pentameter;iambic;12;Rain(1916);Edward Thomas;
Like a cold wa         ter a         mong bro         ken reeds, ;-+-+-+-+-+;--++--++-+;Like a |cold wa         |ter a         |mong bro         |ken reeds, ;pentameter;iambic;13;Rain(1916);Edward Thomas;
Myr i     ads of bro     ken reeds all still and stiff, ;-+-+-+-+-+;+---+-+++-+;Myr i     |ads of bro     |ken reeds |all still |and stiff, ;pentameter;iambic;14;Rain(1916);Edward Thomas;
Like me who have no love which this wild rain;-+-+-+-+-+;-+--++--++|-+-+-+--++;Like me |who have |no love |which this |wild rain;pentameter;iambic;15;Rain(1916);Edward Thomas;
Has not dis solved ex cept the love of death, ;-+-+-+-+-+;-+-+-+-+-+;Has not |dis solved |ex cept |the love |of death, ;pentameter;iambic;16;Rain(1916);Edward Thomas;
If love it be towards what is per     fect and ;-+-+-+-+-+;-+-+-+-+-+;If love |it be |towards what |is per     |fect and ;pentameter;iambic;17;Rain(1916);Edward Thomas;
Can not, the temp     est tells me, dis     a ppoint.;-+-+-+-+-+;-+-+-+-+-+;Can not, |the temp     |est tells |me, dis     |a ppoint.;pentameter;iambic;18;Rain(1916);Edward Thomas;
"I must not think of thee; and, tired yet strong,";-+-+-+-+-+;-+-+-+-+--+;"I must |not think |of thee; |and, ti|red yet strong,";pentameter;iambic;1;Renouncement(1893);Alice Meynell;
I shun the love that lurks in all delight--;-+-+-+-+-+;-+-+-+-+-+;I shun |the love |that lurks |in all |delight--;pentameter;iambic;2;Renouncement(1893);Alice Meynell;
The love of thee--and in the blue heaven's height,;-+-+-+-+-+;-+-+---+++;The love |of thee--|and in |the blue |heaven's height,;pentameter;iambic;3;Renouncement(1893);Alice Meynell;
And in the dearest passage of a song.;-+-+-+-+-+;-+-+-+-+-+;And in |the dear|est pas|sage of |a song.;pentameter;iambic;4;Renouncement(1893);Alice Meynell;
Oh, just beyond the sweetest thoughts that throng;-+-+-+-+-+;++-+-+-+-+;Oh, just |beyond |the sweet|est thoughts |that throng;pentameter;iambic;5;Renouncement(1893);Alice Meynell;
"This breast, the thought of thee waits, hidden yet bright;";-+-+-+-+-+;-+-+-+++--+;"This breast, |the thought |of thee |waits, hid|den yet bright;";pentameter;iambic;6;Renouncement(1893);Alice Meynell;
"But it must never, never come in sight;";-+-+-+-+-+;-+-+-+-+-+;"But it |must nev|er, nev|er come |in sight;";pentameter;iambic;7;Renouncement(1893);Alice Meynell;
I must stop short of thee the whole day long.;-+-+-+-+-+;--++---+++|--++-+-+++;I must |stop short |of thee |the whole |day long.;pentameter;iambic;8;Renouncement(1893);Alice Meynell;
But when sleep comes to close each difficult day,;-+-+-+-+-+;--++-+++--+;But when |sleep comes |to close |each dif|ficult day,;pentameter;iambic;9;Renouncement(1893);Alice Meynell;
When night gives pause to the long watch I keep,;-+-+-+-+-+;-+++--++-+;When night |gives pause |to the |long watch |I keep,;pentameter;iambic;10;Renouncement(1893);Alice Meynell;
And all my bonds I needs must loose apart,;-+-+-+-+-+;-+-+-+-+-+;And all |my bonds |I needs |must loose |apart,;pentameter;iambic;11;Renouncement(1893);Alice Meynell;
Must doff my will as raiment laid away--;-+-+-+-+-+;-+-+-+-+-+;Must doff |my will |as rai|ment laid |away--;pentameter;iambic;12;Renouncement(1893);Alice Meynell;
With the first dream that comes with the first sleep;-+-+-+-+-+;--++-+--++;With the |first dream |that comes |with the |first sleep;pentameter;iambic;13;Renouncement(1893);Alice Meynell;
I run, I run, I am gathered to thy heart.;-+-+-+-+-+;-+-+--+-+-+;I run, |I run, |I am gath|ered to |thy heart.;pentameter;iambic;14;Renouncement(1893);Alice Meynell;
"Razors pain you;";-+-+;+-+-;"Raz|ors pain you;";;iambic;1;Resume(1926);Dorothy Parker ;dimeter
"Rivers are damp;";-+-+;+--+;"Rivers |are damp;";;iambic;2;Resume(1926);Dorothy Parker ;dimeter
"Ac ids stain you;";-+-+;+-+-;"Ac |ids stain you;";;iambic;3;Resume(1926);Dorothy Parker ;dimeter
"And drugs cause cramp;";-+-+;-+++;"And drugs |cause cramp;";;iambic;4;Resume(1926);Dorothy Parker ;dimeter
"Guns aren’t lawful;";-+-+;+-+-;"Guns |aren’t lawful;";;iambic;5;Resume(1926);Dorothy Parker ;dimeter
"Nooses give;";-+-+;+-+;"Noos|es give;";;iambic;6;Resume(1926);Dorothy Parker ;dimeter
"Gas smells awful;";-+-+;+-+-;"Gas |smells awful;";;iambic;7;Resume(1926);Dorothy Parker ;dimeter
You might as well live.;-+-+;-+--+;You might |as well live.;;iambic;8;Resume(1926);Dorothy Parker ;dimeter
He gazed and gazed and gazed and gazed,;-+-+-+-+;-+-+-+-+;He gazed |and gazed |and gazed |and gazed,;tetrameter;iambic;1;Rhyme for a Child Viewing a Naked Venus in a Painting of “The Judgment of Paris”(1872);Robert Browning;
Amazed, amazed, amazed, amazed.;-+-+-+-+;-+-+-+-+;Amazed, |amazed, |amazed, |amazed.;tetrameter;iambic;2;Rhyme for a Child Viewing a Naked Venus in a Painting of “The Judgment of Paris”(1872);Robert Browning;
Roses are red,;-+-+;+--+;Roses |are red,;;iambic;1;Roses Are Red(1784?);Anonymous;dimeter
Violets are blue,;-+-+;+--+;Violets |are blue,;;iambic;2;Roses Are Red(1784?);Anonymous;dimeter
Sugar is sweet,;-+-+;+--+;Sugar |is sweet,;;iambic;3;Roses Are Red(1784?);Anonymous;dimeter
